,date,ticker,price,action,amount,share_change,shares_owned,daily_return,value_ticker,weight_ticker
212,2022-03-23,AAPL,169.1851348876953,None,,0,353,0.008233663751674225,59722.352615356445,4.324077815527918e-06
213,2022-03-24,AAPL,173.0218963623047,None,,0,353,0.0226778876120306,61076.729415893555,4.422138766254134e-06
214,2022-03-25,AAPL,173.66798400878906,None,,0,353,0.0037341380488136178,61304.79835510254,4.438651642878338e-06
215,2022-03-28,AAPL,174.5426788330078,None,,0,353,0.00503659226086528,61613.56562805176,4.461007321391536e-06
216,2022-03-29,AAPL,177.8824462890625,None,,0,353,0.019134388668630375,62792.50354003906,4.5463659693326475e-06
217,2022-03-30,AAPL,176.69961547851562,None,,0,353,-0.006649508342294497,62374.964263916016,4.516134870892446e-06
218,2022-03-31,AAPL,173.55865478515625,None,,0,353,-0.017775707574990585,61266.205139160156,4.435857378058244e-06
219,2022-04-01,AAPL,173.2604522705078,None,,0,353,-0.0017181656254341426,61160.93965148926,4.428235840391936e-06
220,2022-04-04,AAPL,177.36558532714844,None,,0,353,0.023693422260212982,62610.0516204834,4.533155902026152e-06
221,2022-04-05,AAPL,174.0059356689453,None,,0,353,-0.018941947796728975,61424.095291137695,4.447289099575538e-06
222,2022-04-06,AAPL,170.7953643798828,None,,0,353,-0.018450929715241204,60290.76362609863,4.365232480975912e-06
223,2022-04-07,AAPL,171.10350036621094,None,,0,353,0.001804123826468551,60399.53562927246,4.373107900902914e-06
224,2022-04-08,AAPL,169.0658416748047,None,,0,353,-0.011908924639443819,59680.242111206055,4.321028888470906e-06
225,2022-04-11,AAPL,164.75198364257812,None,,0,353,-0.02551584630870729,58157.45022583008,4.210774179457197e-06
226,2022-04-12,AAPL,166.65048217773438,None,,0,353,0.011523372849185032,58827.620208740234,4.259296500310804e-06
227,2022-04-13,AAPL,169.37396240234375,None,,0,353,0.01634246831464159,59789.008728027344,4.328903918409797e-06
228,2022-04-14,AAPL,164.2947540283203,None,,0,353,-0.029988129828113164,57996.04817199707,4.199088185691096e-06
229,2022-04-18,AAPL,164.07608032226562,None,,0,353,-0.0013309841044406578,57918.856353759766,4.193499266062797e-06
230,2022-04-19,AAPL,166.3920440673828,None,,0,353,0.01411518205803275,58736.39155578613,4.2526912716635e-06
231,2022-04-20,AAPL,166.22305297851562,None,,0,353,-0.0010156200064393994,58676.737701416016,4.248372153326788e-06
232,2022-04-21,AAPL,165.41795349121094,None,,0,353,-0.004843488751278935,58392.53758239746,4.227795210590903e-06
233,2022-04-22,AAPL,160.8158416748047,None,,0,353,-0.027821114451465956,56767.992111206055,4.110173236159694e-06
234,2022-04-25,AAPL,161.89927673339844,None,,0,353,0.006737116488714001,57150.44468688965,4.137863952040496e-06
